team,adjde,Year,conf,similar_team,similar_adjde,adjde_diff
San Jose St.,107.4445565660927,2022,MWC,New Mexico,104.32822482222969,3.1163317438630145
Pacific,104.31311864697204,2022,WCC,Pepperdine,105.15165516091588,0.8385365139438363
New Orleans,105.80425699168056,2022,Slnd,A&M-Corpus Christi,102.8341678750568,2.970089116623754
CSU Bakersfield,107.55133918555995,2022,BW,UC San Diego,109.562537166694,2.011197981134046
Cal Poly,104.19769569157492,2022,BW,Cal St. Fullerton,103.11978604733832,1.0779096442365983
McNeese,110.2989669258861,2022,Slnd,Southeastern La.,111.2605084959552,0.9615415700690875
CSUN,110.1768163134516,2022,BW,UC San Diego,109.562537166694,0.6142791467575961
Northwestern St.,113.9099395143858,2022,Slnd,Houston Christian,113.00770839950783,0.9022311148779636
Houston Christian,113.00770839950783,2022,Slnd,Northwestern St.,113.9099395143858,0.9022311148779636
UIW,116.73862191204134,2022,Slnd,Northwestern St.,113.9099395143858,2.828682397655541
Columbia,114.208385415611,2022,Ivy,Penn,109.62389652410825,4.584488891502758
Gonzaga,98.98630075577069,2023,WCC,Santa Clara,99.52911204113197,0.5428112853612816
Saint Mary's (CA),90.48392804108218,2023,WCC,BYU,98.3085261698697,7.824598128787514
San Diego St.,89.52728852745585,2023,MWC,Boise St.,95.56389616330291,6.036607635847062
Utah St.,98.02470160797574,2023,MWC,UNLV,98.95737952596008,0.9326779179843356
Boise St.,95.56389616330291,2023,MWC,Utah St.,98.02470160797574,2.460805444672829
New Mexico,102.40746006426517,2023,MWC,Air Force,102.94289411042494,0.5354340461597786
BYU,98.3085261698697,2023,WCC,Gonzaga,98.98630075577069,0.6777745859009912
Nevada,99.46842693357024,2023,MWC,UNLV,98.95737952596008,0.5110474076101639
Santa Clara,99.52911204113197,2023,WCC,Gonzaga,98.98630075577069,0.5428112853612816
Yale,97.76369809923015,2023,Ivy,Brown,99.6583526009953,1.894654501765146
Princeton,101.00811931498475,2023,Ivy,Harvard,100.31762541231618,0.6904939026685781
UNLV,98.95737952596008,2023,MWC,Nevada,99.46842693357024,0.5110474076101639
UC Irvine,99.06339092623554,2023,BW,Cal St. Fullerton,99.25859388196297,0.1952029557274244
San Francisco,102.23155533766788,2023,WCC,LMU (CA),104.08128992563437,1.8497345879664806
San Jose St.,101.62510878956547,2023,MWC,New Mexico,102.40746006426517,0.7823512746996926
Colorado St.,104.57300950153532,2023,MWC,Wyoming,105.3439923956937,0.7709828941583794
Cal St. Fullerton,99.25859388196297,2023,BW,UC Irvine,99.06339092623554,0.1952029557274244
Penn,104.88423298499995,2023,Ivy,Dartmouth,106.83873909937104,1.9545061143710853
UC Santa Barbara,105.73275480575067,2023,BW,UC Riverside,105.14149767459054,0.591257131160134
LMU (CA),104.08128992563437,2023,WCC,Pepperdine,105.76272783876291,1.6814379131285477
Fresno St.,100.20150735005964,2023,MWC,Nevada,99.46842693357024,0.7330804164894005
Hawaii,98.09613114770976,2023,BW,UC Irvine,99.06339092623554,0.9672597785257864
Air Force,102.94289411042494,2023,MWC,New Mexico,102.40746006426517,0.5354340461597786
Portland,108.21075788817538,2023,WCC,Pacific,107.0455436607308,1.1652142274445794
Wyoming,105.3439923956937,2023,MWC,Colorado St.,104.57300950153532,0.7709828941583794
Long Beach St.,103.6855993915346,2023,BW,Cal Poly,103.06401687127664,0.6215825202579595
UC Riverside,105.14149767459054,2023,BW,UC Santa Barbara,105.73275480575067,0.591257131160134
Brown,99.6583526009953,2023,Ivy,Harvard,100.31762541231618,0.659272811320875
Cornell,109.38730516986872,2023,Ivy,Columbia,110.0370614485546,0.6497562786858708
Pacific,107.0455436607308,2023,WCC,Portland,108.21075788817538,1.1652142274445794
UC Davis,102.76701912522736,2023,BW,Cal Poly,103.06401687127664,0.2969977460492714
Harvard,100.31762541231618,2023,Ivy,Brown,99.6583526009953,0.659272811320875
A&M-Corpus Christi,107.3744197142723,2023,Slnd,Nicholls,107.07317507906112,0.3012446352111908
Pepperdine,105.76272783876291,2023,WCC,Pacific,107.0455436607308,1.282815821967887
San Diego,112.7341728939883,2023,WCC,Portland,108.21075788817538,4.523415005812922
Northwestern St.,108.68080248711328,2023,Slnd,A&M-Corpus Christi,107.3744197142723,1.3063827728409763
UC San Diego,108.1381154070188,2023,BW,CSUN,108.75312237128678,0.6150069642679767
Dartmouth,106.83873909937104,2023,Ivy,Penn,104.88423298499995,1.9545061143710853
Southeastern La.,110.37961136446242,2023,Slnd,UIW,111.18133854783198,0.8017271833695645
Nicholls,107.07317507906112,2023,Slnd,A&M-Corpus Christi,107.3744197142723,0.3012446352111908
Cal Poly,103.06401687127664,2023,BW,UC Davis,102.76701912522736,0.2969977460492714
CSU Bakersfield,104.31322402554925,2023,BW,Long Beach St.,103.6855993915346,0.6276246340146514
East Texas A&M,112.97185018133187,2023,Slnd,McNeese,112.9670211582343,0.004829023097570939
New Orleans,111.76423632144908,2023,Slnd,UIW,111.18133854783198,0.5828977736170913
CSUN,108.75312237128678,2023,BW,UC San Diego,108.1381154070188,0.6150069642679767
McNeese,112.9670211582343,2023,Slnd,East Texas A&M,112.97185018133187,0.004829023097570939
UIW,111.18133854783198,2023,Slnd,New Orleans,111.76423632144908,0.5828977736170913
Columbia,110.0370614485546,2023,Ivy,Cornell,109.38730516986872,0.6497562786858708
Houston Christian,120.15106087278556,2023,Slnd,Lamar University,114.46970230938776,5.681358563397808
Lamar University,114.46970230938776,2023,Slnd,East Texas A&M,112.97185018133187,1.4978521280558823
Gonzaga,99.06769647121487,2024,WCC,San Francisco,98.2553073928076,0.8123890784072785
Saint Mary's (CA),94.08274299428412,2024,WCC,San Francisco,98.2553073928076,4.172564398523477
San Diego St.,94.14269845718876,2024,MWC,New Mexico,95.98224888842935,1.8395504312405961
New Mexico,95.98224888842935,2024,MWC,Colorado St.,96.84670529662444,0.8644564081950818
Nevada,98.0992603460189,2024,MWC,Boise St.,97.779499047193,0.3197612988258953
Colorado St.,96.84670529662444,2024,MWC,New Mexico,95.98224888842935,0.8644564081950818
Boise St.,97.779499047193,2024,MWC,Nevada,98.0992603460189,0.3197612988258953
Utah St.,101.29899370080702,2024,MWC,UNLV,100.91180426312108,0.38718943768593306
San Francisco,98.2553073928076,2024,WCC,Gonzaga,99.06769647121487,0.8123890784072785
UNLV,100.91180426312108,2024,MWC,Utah St.,101.29899370080702,0.38718943768593306
McNeese,101.63251377492738,2024,Slnd,A&M-Corpus Christi,101.78023089153902,0.14771711661164488
UC Irvine,100.11147262657904,2024,BW,UC Davis,102.084327892485,1.972855265905963
Yale,101.1259336674708,2024,Ivy,Harvard,105.24087420758642,4.114940540115612
Princeton,105.71210167382948,2024,Ivy,Cornell,105.7831236023537,0.07102192852421751
Cornell,105.7831236023537,2024,Ivy,Princeton,105.71210167382948,0.07102192852421751
Santa Clara,103.50794262613896,2024,WCC,San Diego,106.62167634755043,3.113733721411478
UC San Diego,107.84606959804938,2024,BW,Long Beach St.,107.6647645076312,0.18130509041817788
Wyoming,106.97176055194733,2024,MWC,Fresno St.,108.26919115327344,1.2974306013261128
UC Davis,102.084327892485,2024,BW,UC Irvine,100.11147262657904,1.972855265905963
Hawaii,105.19108856978586,2024,BW,CSUN,104.85493519668566,0.33615337310020266
LMU (CA),109.72248238707192,2024,WCC,Pepperdine,108.27474057115532,1.4477418159166007
